Date/Time,RANGE," ""ROW""","""LOCATION""","""TRIAL""","""PLOT""","""TRT1""","""TRT2""","""TRT3""",Weight,Moisture,Test Weight,Quick Note,Harvest Sequence
6/12/2024 13:46,9,1,HUT.O,GO,101,NA,NA,NA,4.67,11.7,74.2,,5
6/12/2024 13:46,10,1,HUT.O,GO,201,NA,NA,NA,0.031,0.35,0.8,,6
6/12/2024 13:46,11,1,HUT.O,GO,301,NA,NA,NA,0.026,0.35,1.02,,7
6/12/2024 13:47,12,1,HUT.O,NxF,101,NA,NA,NA,3.049,12.2,70.4,,8
6/12/2024 13:48,13,1,HUT.O,NxF,201,NA,NA,NA,3.59,11.6,77.4,,9
6/12/2024 13:49,14,1,HUT.O,NxF,301,NA,NA,NA,3.636,11.5,75.2,,10
6/12/2024 13:54,9,2,HUT.O,GO,102,NA,NA,NA,4.494,11.5,72.6,,16
6/12/2024 13:53,10,2,HUT.O,GO,202,NA,NA,NA,4.478,11.6,72.2,,15
6/12/2024 13:53,11,2,HUT.O,GO,302,NA,NA,NA,4.495,11.5,72.8,,14
6/12/2024 13:52,12,2,HUT.O,NxF,102,NA,NA,NA,3.577,11.5,75.4,,13
6/12/2024 13:51,13,2,HUT.O,NxF,202,NA,NA,NA,2.699,11.8,70.1,,12
6/12/2024 13:50,14,2,HUT.O,NxF,302,NA,NA,NA,3.331,11.5,71.8,,11
6/12/2024 14:04,9,3,HUT.O,GO,103,NA,NA,NA,5.255,10.7,69.3,,25
6/12/2024 14:05,10,3,HUT.O,GO,203,NA,NA,NA,4.844,11.7,75.3,,26
6/12/2024 14:05,11,3,HUT.O,GO,303,NA,NA,NA,5.715,11.4,77.8,,27
6/12/2024 14:06,12,3,HUT.O,NxF,103,NA,NA,NA,3.321,11,71.8,,28
6/12/2024 14:07,13,3,HUT.O,NxF,203,NA,NA,NA,2.916,11.5,74.1,,29
6/12/2024 14:08,14,3,HUT.O,NxF,303,NA,NA,NA,3.743,11.3,75.8,,30
6/12/2024 14:13,9,4,HUT.O,GO,104,NA,NA,NA,5.985,11.6,76.5,,36
6/12/2024 14:12,10,4,HUT.O,GO,204,NA,NA,NA,0.027,0.57,0.92,,35
6/12/2024 14:12,11,4,HUT.O,GO,304,NA,NA,NA,4.755,11.5,74.6,,34
6/12/2024 14:11,12,4,HUT.O,NxF,104,NA,NA,NA,4.279,10.9,74.9,,33
6/12/2024 14:10,13,4,HUT.O,NxF,204,NA,NA,NA,4.087,11.3,74.7,,32
6/12/2024 14:09,14,4,HUT.O,NxF,304,NA,NA,NA,3.164,11.2,69.5,,31
6/12/2024 14:24,9,5,HUT.O,GO,105,NA,NA,NA,5.656,11,75,,45
6/12/2024 14:25,10,5,HUT.O,GO,205,NA,NA,NA,6.221,11.1,76.4,,46
6/12/2024 14:26,11,5,HUT.O,GO,305,NA,NA,NA,5.19,11.3,75.6,,47
6/12/2024 14:26,12,5,HUT.O,NxF,105,NA,NA,NA,3.924,11.4,72.2,,48
6/12/2024 14:27,13,5,HUT.O,NxF,205,NA,NA,NA,3.356,10.9,72.9,,49
6/12/2024 14:28,14,5,HUT.O,NxF,305,NA,NA,NA,3.272,11.1,72.6,,50
6/12/2024 14:33,9,6,HUT.O,GO,106,NA,NA,NA,5.506,11.3,73.1,,56
6/12/2024 14:32,10,6,HUT.O,GO,206,NA,NA,NA,5.484,10.5,67.4,,55
6/12/2024 14:31,11,6,HUT.O,GO,306,NA,NA,NA,5.174,11.1,74.2,,54
6/12/2024 14:31,12,6,HUT.O,NxF,106,NA,NA,NA,4.363,10.8,74.6,,53
6/12/2024 14:30,13,6,HUT.O,NxF,206,NA,NA,NA,4.237,11,75.1,,52
6/12/2024 14:29,14,6,HUT.O,NxF,306,NA,NA,NA,3.979,11.1,74.7,,51
6/12/2024 14:41,9,7,HUT.O,GO,107,NA,NA,NA,5.578,10.9,72.5,,64
6/12/2024 14:41,10,7,HUT.O,GO,207,NA,NA,NA,0.023,0.6,1,,65
6/12/2024 14:42,11,7,HUT.O,GO,307,NA,NA,NA,6.078,11.5,77.1,,66
6/12/2024 14:42,12,7,HUT.O,NxF,107,NA,NA,NA,3.584,11.8,69.4,,67
6/12/2024 14:43,13,7,HUT.O,NxF,207,NA,NA,NA,4.252,11,76.2,,68
6/12/2024 14:44,14,7,HUT.O,NxF,307,NA,NA,NA,2.786,11.9,67.4,,69
6/12/2024 14:50,9,8,HUT.O,GO,108,NA,NA,NA,4.616,11.3,75.2,,75
6/12/2024 14:50,10,8,HUT.O,GO,208,NA,NA,NA,5.012,11.2,71.2,,74
6/12/2024 14:49,11,8,HUT.O,GO,308,NA,NA,NA,0.027,0.6,1.2,,73
6/12/2024 14:49,12,8,HUT.O,NxF,108,NA,NA,NA,4.341,10.7,74.2,,72
6/12/2024 14:48,13,8,HUT.O,NxF,208,NA,NA,NA,3.801,11,71.2,,71
6/12/2024 14:47,14,8,HUT.O,NxF,308,NA,NA,NA,3.697,11.1,73.8,,70
